Score|Industry|Year Founded|URLtrim|Recurring Revenue (million)|Margins|Stable Cash Flow|Industry Growth|Fragmented Industry|Straightforward Operations|Exogenous Risk|Barriers to Entry|Employee Estimate|Stickiness|Supplier Power|Customer Power|Service vs Project/Product|Longterm Relationships|Customer Concentration
Reject|non-profit, wellfair|2008|okdhs.org|0.5|medium|medium|low|high|yes|low|low|2-10|medium|medium|medium|service|yes|medium
Reject|general contractors residential industrial|1988|contractservicefl.com|11|medium|medium|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|sales test and measure equipment|1994|tandm.net|0.5|medium|low|low|high|yes|low|low|2-10|low|low|medium|service|yes|low
Reject|benefit management for Costco employees|2008|costcobenefits.com|2|medium|medium|medium|high|yes|low|low|11-50|medium|low|high|service|yes|high
Reject|Metrology|1993|aberlink.com|0.5|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|medium
Reject|non-profit family wellfare|2008|catholicsocialservicesrapidcity.com|17|medium|medium|low|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Reject|3d layser survey|1995|3dlasersurveys.com|15|low|low|medium|high|yes|low|low|11-50|low|low|high|service|yes|medium
Reject|graphic design service|2003|photo-graphiccreations.com|11|medium|medium|high|high|yes|low|low|51-200|medium|low|high|service|yes|low
Reject|real estate appraisal|1978|valueabode.com|0.5|medium|low|high|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|real estate appraisal|2002|homeanalyticsappraisal.com|10|medium|low|high|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|manufacturer machinary supplies|1918|iowamach.com|9|medium|low|high|high|yes|low|low|11-50|medium|low|high|product|yes|medium
Reject|design display equipment|2003|westardisplaytechnologies.com|17|medium|medium|low|high|yes|low|low|51-200|medium|medium|medium|product|yes|medium
Reject|manufacturer measure and caliberation equipment|1995|toveyengineering.com|8|medium|low|low|high|yes|low|low|11-50|medium|medium|medium|product|yes|medium
Reject|law firm|2011|dashfarrow.com|0.5|medium|medium|medium|high|yes|low|low|2-10|medium|medium|medium|service|yes|medium
Reject|NDT Training, Consulting|2006|ndtcs.com|3|low|low|high|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Reject|manufacturer sensors|1979|smdsensors.com|25|medium|medium|low|high|yes|low|low|51-200|medium|low|high|product|yes|medium
Reject|AV and IT technology design consulting|1962|acousticsbydesign.com|9|medium|low|medium|high|yes|low|medium|11-50|medium|medium|medium|service|yes|medium
Reject|3D printing, foreign, in canada, service|2008|axisproto.com|0.5|low|low|medium|high|yes|low|medium|2-10|medium|medium|medium|service|yes|medium
Reject|manufacturer  machining, plastic molding and 3D printing parts.|2013|zyci.com|5|low|low|medium|high|yes|low|medium|11-50|medium|medium|medium|product|yes|medium
